dataset name,old compartment,new compartment
"biodiesel, from residual cellulosic biomass, burned in heavy-duty vehicle",urban air close to ground,
ground granulated blast furnace slag production,unspecified,
"heat, residential, by combustion of biomethane using boiler, distributed by pipeline",urban air close to ground,
"treatment of brake wear emissions, lorry",unspecified,
"hot rolling, steel",unspecified,non-urban air or from high stacks
"heat production, biomethane, at boiler condensing modulating <100kW",urban air close to ground,
dichloromethane production,urban air close to ground,non-urban air or from high stacks
"photovoltaic cell, multi-Si, at plant",urban air close to ground,non-urban air or from high stacks
"beam, softwood, raw, kiln drying to u=10%",urban air close to ground,non-urban air or from high stacks
ammonium sulfate production,unspecified,non-urban air or from high stacks
cross-laminated timber production,unspecified,
ammonium nitrate production,urban air close to ground,non-urban air or from high stacks
"excavation, skid-steer loader",unspecified,
cast iron production,unspecified,non-urban air or from high stacks
"copper-cobalt mining, industrial, economic allocation",unspecified,non-urban air or from high stacks
stone wool production,non-urban air or from high stacks,
zinc mine operation,unspecified,non-urban air or from high stacks
"welding, gas, steel",unspecified,
"transport, freight train, electricity",unspecified,
"steel production, blast furnace-basic oxygen furnace, low-alloyed",unspecified,non-urban air or from high stacks
"pig iron production, hydrogen-based direct reduction iron",unspecified,non-urban air or from high stacks
silver mine operation with extraction,non-urban air or from high stacks,
"transport, freight, inland waterways, barge tanker",non-urban air or from high stacks,
"petroleum combustion, in drilling tests",non-urban air or from high stacks,
"reformate production, petroleum refinery operation",unspecified,non-urban air or from high stacks
"heat production, natural gas, at boiler modulating >100kW",urban air close to ground,
"heat production, light fuel oil, at boiler 100kW, non-modulating",urban air close to ground,
"process-specific burdens, hazardous waste incineration plant",urban air close to ground,
"steel production, blast furnace-basic oxygen furnace, unalloyed",unspecified,non-urban air or from high stacks
"smelting and refining of nickel concentrate, 16% Ni",non-urban air or from high stacks,
"treatment of spent activated carbon, granular from hard coal, reactivation",urban air close to ground,non-urban air or from high stacks
"lath, softwood, raw, kiln drying to u=10%",urban air close to ground,non-urban air or from high stacks
"treatment of waste brick, sorting plant",urban air close to ground,non-urban air or from high stacks
"kerosene, burned in aircraft",,
"kerosene, from cellulosic residual biomass, burned in aircraft",,
"zeolite production, powder",,non-urban air or from high stacks
iron pellet production,,non-urban air or from high stacks
"kerosene, from non-residual oily biomass, burned in aircraft",,
"silicon production, metallurgical grade",,non-urban air or from high stacks
primary zinc production from concentrate,,non-urban air or from high stacks
"kerosene, from cellulosic non-residual biomass, burned in aircraft",,
"kerosene, synthetic, burned in aircraft",,
"diesel, synthetic, burned in heavy duty vehicle",,urban air close to ground
"gold mine operation and gold production, unrefined",,non-urban air or from high stacks
