name,reference product,CPC,interventionpaper
"treatment of refinery sludge, sanitary landfill","electricity, medium voltage",17100: Electrical energy,electricity production
"hydrochloric acid production, from the reaction of hydrogen with chlorine","hydrochloric acid, without water, in 30% solution state","34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
"market for wind turbine network connection, 4.5MW, onshore","wind turbine network connection, 4.5MW, onshore","46211: Electrical apparatus for switching or protecting electrical circuits, or for making connexions to or in electr[…]",machinery and equipment
"transport, pipeline, onshore, long distance, natural gas","transport, pipeline, onshore, long distance, natural gas",65131: Transport services via pipeline of petroleum and natural gas,distribution
market for waste glass,waste glass,"37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass",other products
electricity voltage transformation from medium to low voltage,"electricity, low voltage",17100: Electrical energy,electricity production
"chlorine, for reuse in zirconium and hafnium tetrachloride production, to generic market for chlorine","chlorine, liquid","34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
"electricity production, hydro, aluminium industry","electricity, high voltage, aluminium industry",17100: Electrical energy,electricity production
"wind turbine construction, small-scale, 6kW, onshore","wind turbine, small-scale, 6kW, onshore",53262: Power plants,construction
"anode production, silicon coated graphite, NCA, for Li-ion battery","anode, silicon coated graphite, for Li-ion battery","46950: Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbo[…]",machinery and equipment
"deep drawing, steel, 10000 kN press, single stroke","deep drawing, steel, 10000 kN press, single stroke","89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services",other services
cocamide diethanolamine production,"ammonia, anhydrous, liquid","34651: Ammonia, anhydrous",chemicals and plastics
"market for land tenure, arable land, measured as carbon net primary productivity, pasture, man made","land tenure, arable land, measured as carbon net primary productivity, pasture, man made","91131: Public administrative services related to agriculture, forestry, fishing and hunting",other services
"hydrogen production, gaseous, petroleum refinery operation","hydrogen, gaseous, low pressure","34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",chemicals and plastics
"ventilation system production, decentralized, 6 x 120 m3/h, polyethylene ducts","ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts",44815: Fans and ventilating or recycling hoods of the domestic type,machinery and equipment
market for tungsten concentrate,tungsten concentrate,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),mining and basic metals
"electricity, high voltage, production mix","electricity, high voltage",17100: Electrical energy,electricity production
flattened bamboo production,flattened bamboo,"31212: Wood, continuously shaped along any of its edges or faces (including strips and friezes for parquet flooring, […]",forest biomass
market for waste glass sheet,waste glass sheet,"37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass",other products
"operation, computer, desktop, with liquid crystal display, office use","operation, computer, desktop, office use",85: Support services,other services
"treatment of precious metal from electronics scrap, in anode slime, precious metal extraction",palladium,"41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]",mining and basic metals
"market for natural gas, low pressure","natural gas, low pressure",69120: Gas distribution through mains (on own account),distribution
market for ground granulated blast furnace slag,ground granulated blast furnace slag,"37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers",other products
rye production,straw,"01913: Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",agricultural biomass
"lath, hardwood, raw, kiln drying to u=20%","sawnwood, lath, hardwood, raw, dried (u=20%)","31102: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood ",forest biomass
"market for power adapter, for smartphone","power adapter, for smartphone",46121: Electrical transformers,machinery and equipment
"market for exhaust air roof hood, steel, DN 400","exhaust air roof hood, steel, DN 400",43941: Parts of producer gas or water gas generators; parts of acetylene gas generators and similar water process gas[…],machinery and equipment
market for titanium dioxide,titanium dioxide,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),mining and basic metals
"market for cement, CEM III/A","cement, CEM III/A","37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers",other products
"transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO3, R134a refrigerant, freezing","transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO3, R134a refrigerant, freezing",65111: Road transport services of freight by refrigerator vehicles,road transport
platinum to generic market for metal catalyst for catalytic converter,metal catalyst for catalytic converter,"41350: Base metals clad with silver, and base metals, silver or gold clad with platinum, not further worked than semi[…]",mining and basic metals
banana production,banana,01312: Bananas,agricultural biomass
