name,reference product,CPC,interventionpaper
sodium hydrogen sulfite production,sodium hydrogen sulfite,34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,chemicals and plastics
"chlor-alkali electrolysis, average production",sulfuric acid,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
primary zinc production from concentrate,silver,"41310: Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder […]",mining and basic metals
market for coriander,coriander,"01654: Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",agricultural biomass
"transport, helicopter","transport, helicopter",6424: Air transport services of passengers,aviation
"hard coal, import from Australia",hard coal,11010: Hard coal,fossil fuel extraction
"carboxymethyl cellulose production, powder","carboxymethyl cellulose, powder","35240: Sugars, chemically pure n.e.c.; sugar ethers and sugar esters and their salts n.e.c.",chemicals and plastics
"petrol production, 4% ETBE additive by volume, with ethanol from biomass","petrol, 4% ETBE additive by volume, with ethanol from biomass",33311: Motor gasoline,oil and gas products
"intermodal shipping container production, 40-foot","intermodal shipping container, 40-foot",49221: Containers specially designed and equipped for carriage by one or more modes of transport,machinery and equipment
"market for construction work, heat and power co-generation unit, 160kW electrical","construction work, heat and power co-generation unit, 160kW electrical",53262: Power plants,construction
"wastewater treatment facility construction, lagoon, capacity 1.6E8l/year","wastewater treatment facility, capacity 1.6E8l/year",53253: Sewage and water treatment plants,construction
market for natural gas service station,natural gas service station,53290: Other civil engineering works,construction
"market for iron ore, crude ore, 63% Fe","iron ore, crude ore, 63% Fe","14100: Iron ores and concentrates, other than roasted iron pyrites",mining and basic metals
"market for glass fibre reinforced plastic, polyester resin, hand lay-up","glass fibre reinforced plastic, polyester resin, hand lay-up",36990: Articles of plastics n.e.c.,chemicals and plastics
petroleum refinery operation,"petrol, unleaded",33311: Motor gasoline,oil and gas products
market for chloropropionic acid,chloropropionic acid,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",chemicals and plastics
"market for nitrate salts, for solar power application","nitrate salts, for solar power application","34280: Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides",chemicals and plastics
"aluminium, ingot, primary, import from unspecified","aluminium, primary, ingot",41431: Unwrought aluminium,mining and basic metals
"market for silica fume, densified","silica fume, densified","37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers",other products
"mowing, by rotary or sickle mower","mowing, by rotary or sickle mower",86119: Other support services to crop production,agricultural biomass
hard coal mine operation,"hard coal, run-of-mine",11010: Hard coal,fossil fuel extraction
"aircraft production, dedicated freight aircraft, long haul","aircraft, dedicated freight, long haul",49623: Aeroplanes and other powered aircraft of an unladen weight exceeding 2000 kg,machinery and equipment
"market for barley grain, Swiss integrated production","barley grain, Swiss integrated production","01152: Barley, other",agricultural biomass
"market for passenger car, diesel","passenger car, diesel",49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…],machinery and equipment
tube insulation factory construction,tube insulation factory,53269: Other constructions for manufacturing,construction
"market for machine operation, diesel, >= 18.64 kW and < 74.57 kW, underground mining","machine operation, diesel, >= 18.64 kW and < 74.57 kW, underground mining",542: General construction services of civil engineering works,construction
"market for mowing, by rotary mower","mowing, by rotary mower",86119: Other support services to crop production,agricultural biomass
"concrete production, 20MPa, for building construction, with cement, ART","concrete, 20MPa",37510: Non-refractory mortars and concretes,other products
"market for polyether polyols, long chain, ISOPA","polyether polyols, long chain, ISOPA",347: Plastics in primary forms,chemicals and plastics
"treatment of waste glass, open burning",waste glass,"37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass",other products
"mini CHP plant construction, common components for heat+electricity","mini CHP plant, common components for heat+electricity",53262: Power plants,construction
"market for fertilising, by stool splitter, sugarcane","fertilising, by stool splitter, sugarcane",86119: Other support services to crop production,agricultural biomass
market for non-ferrous metal smelter,non-ferrous metal smelter,"44310: Converters, ladles, ingot moulds and casting machines, of a kind used in metallurgy or in metal foundries; met[…]",machinery and equipment
"coal stove production, 5-15kW","coal stove, 5-15kW","43410: Furnace burners for liquid fuel, for pulverized solid fuel or for gas; mechanical stokers, mechanical grates, […]",machinery and equipment
"mandarin production, sorted and graded","mandarin, fresh grade","01324: Tangerines, mandarins, clementines",agricultural biomass
"market for photovoltaic plant, 570kWp, multi-Si, on open ground","photovoltaic plant, 570kWp, multi-Si, on open ground",53262: Power plants,construction
market group for heavy fuel oil,heavy fuel oil,33370: Fuel oils n.e.c.,oil and gas products
"market for tillage, field cultivator with amendment","tillage, field cultivator with amendment",86119: Other support services to crop production,agricultural biomass
market for stucco,stucco,37410: Plasters,other products
alkyl sulphate (C12-14) production,alkyl sulphate (C12-14),"35310: Organic surface active agents, except soap",chemicals and plastics
"market for wood preservative, organic salt, Cr-free","wood preservative, organic salt, Cr-free",35110: Paints and varnishes and related products,chemicals and plastics
"lean concrete production, with cement CEM II/B",lean concrete,"37540: Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",other products
"market for tanker, for petroleum","tanker, for petroleum",49312: Tankers (ships),machinery and equipment
"treatment of spent oxychlor catalyst, hazardous waste incineration, with energy recovery","electricity, medium voltage",17100: Electrical energy,electricity production
drying of maize straw and whole-plant,drying of maize straw and whole-plant,86111: Post-harvest crop services,agricultural biomass
"transport, freight, small lorry with refrigeration machine, EURO5, R134a refrigerant, cooling to generic market","transport, freight, lorry with refrigeration machine, cooling",65111: Road transport services of freight by refrigerator vehicles,road transport
market for reinforcing steel,reinforcing steel,"4124: Bars and rods, hot-rolled, of iron or steel",mining and basic metals
"hardwood forestry, oak, sustainable forest management","wood chips, wet, measured as dry mass",31230: Wood in chips or particles,forest biomass
"market for strontium sulfate, 90% SrSO4","strontium sulfate, 90% SrSO4",14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),mining and basic metals
"market for natural gas, liquefied","natural gas, liquefied","12020: Natural gas, liquefied or in the gaseous state",fossil fuel extraction
"light olefins production, from methanol-to-olefins conversion, ethylene-to-propylene ratio of 0.67","petrol, low-sulfur",33311: Motor gasoline,oil and gas products
"market for aluminium alloy, metal matrix composite","aluminium alloy, metal matrix composite",41431: Unwrought aluminium,mining and basic metals
market for wafer factory,wafer factory,53269: Other constructions for manufacturing,construction
"market for transport, freight, lorry 7.5-16 metric ton, EURO1","transport, freight, lorry 7.5-16 metric ton, EURO1",6511: Road transport services of freight,road transport
"1,1-dimethylcyclopentane to generic market for solvent, organic","solvent, organic",341: Basic organic chemicals,chemicals and plastics
"market for heat and power co-generation unit, 6400kW thermal, components for electricity only","heat and power co-generation unit, 6400kW thermal, components for electricity only",46113: Electric generating sets and rotary converters,machinery and equipment
"market for cover plaster, organic","cover plaster, organic",37410: Plasters,other products
"green manure growing, Swiss integrated production, until March","green manure, Swiss integrated production, until March",34659: Fertilizers n.e.c.,chemicals and plastics
"market for casting, steel, lost-wax","casting, steel, lost-wax",89310: Iron and steel casting services,other services
"treatment of sewage sludge, 75% water, WWT, WW from liquid crystal production, sanitary landfill","electricity, medium voltage",17100: Electrical energy,electricity production
market for imidazole,imidazole,34160: Organo-sulphur compounds and other organo-inorganic compounds; heterocyclic compounds n.e.c.; nucleic acids an[…],chemicals and plastics
"market for wood preservation facility, dipping/immersion tank","wood preservation facility, dipping/immersion tank",53269: Other constructions for manufacturing,construction
market for photovoltaic panel factory,photovoltaic panel factory,53269: Other constructions for manufacturing,construction
"market for plug, inlet and outlet, for computer cable","plug, inlet and outlet, for computer cable",45290: Parts and accessories of computing machines,machinery and equipment
"petroleum coke production, petroleum refinery operation",petroleum coke,"33500: Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, […]",oil and gas products
"market for beverage carton, 1 L, for juice (ambient)","beverage carton, 1 L, for juice (ambient)","32153: Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…]",pulp and paper
"transport, freight, aircraft, belly-freight, very short haul","transport, freight, aircraft, very short haul",6531: Air transport services of freight,aviation
"market for furnace, wood chips, softwood storage area, 50kW","furnace, wood chips, softwood storage area, 50kW","43420: Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]",machinery and equipment
"cement production, CP II-F","cement, CP II-F","37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers",other products
"photovoltaic panel production, CIS","photovoltaic panel, CIS","47150: Diodes, transistors and similar semi-conductor devices; photosensitive semi-conductor devices; light emitting […]",machinery and equipment
"impact extrusion of steel, hot, 3 strokes","impact extrusion of steel, hot, 3 strokes","89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services",other services
"market for sawnwood, beam, softwood, dried (u=20%), planed","sawnwood, beam, softwood, dried (u=20%), planed","31101: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood ",forest biomass
"particleboard production, uncoated, average glue mix","bark chips, wet, measured as dry mass",31230: Wood in chips or particles,forest biomass
"market for compressed air energy storage plant, 200 MW electrical","compressed air energy storage plant, 200 MW electrical",53262: Power plants,construction
"powertrain production, for electric passenger car","powertrain, for electric passenger car","46960: Parts for the goods of subclasses 46910, 46921 and 46929; electrical parts n.e.c. of machinery or apparatus",machinery and equipment
"treatment of sewage sludge, 97% water, WWT-SLF, waste wood, untreated, landfarming","organic phosphorus fertiliser, as P2O5",34659: Fertilizers n.e.c.,chemicals and plastics
"indium tin oxide powder production, nanoscale, for sputtering target","indium tin oxide powder, nanoscale, for sputtering target",35499: Other chemical products n.e.c.,chemicals and plastics
paper sack production,paper sack,"32133: Other uncoated kraft paper and paperboard; sack kraft paper, creped or crinkled",pulp and paper
"market for bitumen seal, V60","bitumen seal, V60","37940: Bituminous mixtures based on natural and artificial stone materials and bitumen, natural asphalt or related su[…]",other products
"market for transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO4, carbon dioxide, liquid refr(...)_10","transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO4, carbon dioxide, liquid refrigerant, freezing",65111: Road transport services of freight by refrigerator vehicles,road transport
market for bromine,bromine,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
"polyvinylchloride production, suspension polymerisation","polyvinylchloride, suspension polymerised","34730: Polymers of vinyl chloride or other halogenated olefins, in primary forms",chemicals and plastics
"market for impact extrusion of steel, cold, 3 strokes","impact extrusion of steel, cold, 3 strokes","89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services",other services
"market for natural gas, low pressure, vehicle grade","natural gas, low pressure, vehicle grade",69120: Gas distribution through mains (on own account),distribution
cobalt production,ferronickel,41114: Ferro-nickel,mining and basic metals
"ethylene diamine production, from ethylene dichloride",ethylene diamine,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]",chemicals and plastics
"treatment of sewage sludge, 97% water, WWT, WW from tube collector production, landfarming","organic nitrogen fertiliser, as N",34659: Fertilizers n.e.c.,chemicals and plastics
market for phacelia silage,phacelia silage,"01919: Forage products, n.e.c.",agricultural biomass
methylcyclohexane production,methylcyclohexane,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
morpholine production,morpholine,34160: Organo-sulphur compounds and other organo-inorganic compounds; heterocyclic compounds n.e.c.; nucleic acids an[…],chemicals and plastics
"chlor-alkali electrolysis, average production","hydrogen, gaseous, low pressure","34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",chemicals and plastics
concrete roof tile production,concrete roof tile,"37540: Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",other products
"oat seed production, for sowing","oat seed, for sowing",86112: Seed processing services,agricultural biomass
market for epichlorohydrin,epichlorohydrin,"34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",chemicals and plastics
market for esterquat,esterquat,"35310: Organic surface active agents, except soap",chemicals and plastics
"agricultural machinery production, unspecified","agricultural machinery, unspecified",441: Agricultural or forestry machinery and parts thereof,machinery and equipment
market for naphthalene sulfonic acid,naphthalene sulfonic acid,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]",chemicals and plastics
market for green asparagus,green asparagus,01211: Asparagus,agricultural biomass
oriented strand board production,"bark chips, wet, measured as dry mass",31230: Wood in chips or particles,forest biomass
market for municipal waste incineration facility,municipal waste incineration facility,53290: Other civil engineering works,construction
market for wheat bran,wheat bran,"23130: Groats, meal and pellets of wheat and other cereals",agricultural biomass
market for lignite briquettes factory,lignite briquettes factory,53269: Other constructions for manufacturing,construction
"mischmetal production, primary",mischmetal,"34290: Compounds of rare earth metals, of yttrium or of scandium",chemicals and plastics
"smelting and refining of nickel concentrate, 16% Ni","copper concentrate, sulfide ore",14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),mining and basic metals
"operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s, electricity from renewable energy products","operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s, electricity from renewable energy products",85: Support services,other services
"propylene production, from methanol-to-propylene conversion","petrol, low-sulfur",33311: Motor gasoline,oil and gas products
zinc mine operation,"quicklime, milled, loose","37420: Quicklime, slaked lime and hydraulic lime",other products
market for flax husks,flax husks,"01919: Forage products, n.e.c.",agricultural biomass
"market for packaging, for pesticides","packaging, for pesticides","36490: Other articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, o[…]",chemicals and plastics
"treatment of waste paperboard, municipal incineration","electricity, for reuse in municipal waste incineration only",17100: Electrical energy,electricity production
"petrol, unleaded, burned in machinery","petrol, unleaded, burned in machinery",86119: Other support services to crop production,agricultural biomass
"market for wheat grain, feed, organic","wheat grain, feed, organic",23319: Preparations used in animal feeding n.e.c.,agricultural biomass
market for o-aminophenol,o-aminophenol,"34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",chemicals and plastics
"photovoltaic plant construction, 570kWp, multi-Si, on open ground","photovoltaic plant, 570kWp, multi-Si, on open ground",53262: Power plants,construction
market for chromium steel pipe,chromium steel pipe,"4128: Tubes, pipes and hollow profiles, of steel",mining and basic metals
"treatment of fly ash and scrubber sludge, hazardous waste incineration, with energy recovery","electricity, medium voltage",17100: Electrical energy,electricity production
manganese dioxide production,manganese sulfate,34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,chemicals and plastics
"treatment of sewage sludge, 70% water, WWT, WW from glass production, municipal incineration","electricity, for reuse in municipal waste incineration only",17100: Electrical energy,electricity production
dimethyl hexynediol production,dimethyl hexynediol,"34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",chemicals and plastics
"market group for diesel, low-sulfur","diesel, low-sulfur",33360: Gas oil,oil and gas products
market for acrylonitrile-butadiene-styrene copolymer,acrylonitrile-butadiene-styrene copolymer,"34720: Polymers of styrene, in primary forms",chemicals and plastics
"market for diesel-electric generating set, 18.5kW","diesel-electric generating set, 18.5kW","46131: Parts of electric motors, generators and the like",machinery and equipment
"trimesoyl chloride production, for membrane filtration production",trimesoyl chloride,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",chemicals and plastics
alpha-naphthol production,alpha-naphthol,"34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",chemicals and plastics
market for cumene,cumene,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
ethanol production from rye,Distiller's Dried Grains with Solubles,23319: Preparations used in animal feeding n.e.c.,agricultural biomass
market for cyanogen chloride,cyanogen chloride,"34270: Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]",chemicals and plastics
"market for transistor, auxilliaries and energy use","transistor, auxilliaries and energy use","47150: Diodes, transistors and similar semi-conductor devices; photosensitive semi-conductor devices; light emitting […]",machinery and equipment
"market for straw, organic","straw, organic","01913: Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",agricultural biomass
"market for sulfite pulp, bleached","sulfite pulp, bleached","32112: Chemical wood pulp, other than dissolving grades",pulp and paper
market for praseodymium-neodymium oxide,praseodymium-neodymium oxide,"34290: Compounds of rare earth metals, of yttrium or of scandium",chemicals and plastics
fish oil to generic market for energy feed,"energy feed, gross",23319: Preparations used in animal feeding n.e.c.,agricultural biomass
"tilapia feed production, commercial","tilapia feed, 24-28% protein",2331: Preparations used in animal feeding,agricultural biomass
"fattening of heifers for beef cattle production, on pasture","cattle for slaughtering, live weight",02111: Cattle,agricultural biomass
"cable production, network cable, category 5, without plugs","cable, network cable, category 5, without plugs",46310: Insulated winding wire,machinery and equipment
ethanol production from grass,"protein feed, 100% crude",23319: Preparations used in animal feeding n.e.c.,agricultural biomass
"unreinforced concrete production, 15MPa, with cement, CEM II/A","unreinforced concrete, 15MPa","37540: Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",other products
"toner module production, laser printer, black/white","toner module, laser printer, black/white","44922: Parts for the goods of subclasses 44914, 44917 and 45150",machinery and equipment
"waste packaging glass, unsorted, Recycled Content cut-off","waste packaging glass, unsorted","37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass",other products
"market for maize seed, for sowing","maize seed, for sowing","01121: Maize (corn), seed",agricultural biomass
"market for building, hall","building, hall",5312: Non-residential buildings,construction
"landed anchovy by-catch, fresh to generic market for marine fish",marine fish,"04211: Wild freshwater fish, live, fresh or chilled",agricultural biomass
"electricity, high voltage, import from BA","electricity, high voltage",17100: Electrical energy,electricity production
"platinum group metal, extraction and refinery operations",platinum,"41330: Platinum, unwrought or in semi-manufactured forms, or in powder form",mining and basic metals
"market for resistor, auxilliaries and energy use","resistor, auxilliaries and energy use",47120: Electrical resistors (except heating resistors),machinery and equipment
melamine impregnated paper production,"paper, melamine impregnated","32149: Other paper and paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, gummed or adh[…]",pulp and paper
market for acetoacetic acid,acetoacetic acid,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",chemicals and plastics
"transport, freight, conveyor belt","transport, freight, conveyor belt",86219: Support services to other mining,mining and basic metals
"heat and power co-generation, natural gas, 160kW electrical, Jakobsberg","electricity, low voltage",17100: Electrical energy,electricity production
"market for printed wiring board, mounted mainboard, mobile device, double-sided, Pb free","printed wiring board, mounted mainboard, mobile device, double-sided, Pb free",47160: Electronic integrated circuits,machinery and equipment
"ventilation of dwellings, decentralized, 6 x 120 m3/h, polyethylene ducts","ventilation of dwellings, decentralized, 6 x 120 m3/h",44815: Fans and ventilating or recycling hoods of the domestic type,machinery and equipment
"market for sawnwood, hardwood, raw","sawnwood, hardwood, raw","31102: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood ",forest biomass
"epoxy resin insulator, Al2O3 production","epoxy resin insulator, Al2O3","34740: Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]",chemicals and plastics
"concrete production, 25MPa, for building construction, exposure class XC2, with cement, unspecified","concrete, 25MPa",37510: Non-refractory mortars and concretes,other products
"platinum group metal mine operation, ore with high palladium content",palladium,"41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]",mining and basic metals
market for photovoltaic cell factory,photovoltaic cell factory,53269: Other constructions for manufacturing,construction
"market for drawing of pipe, steel","drawing of pipe, steel",88739: Other fabricated metal product manufacturing services n.e.c.,other services
"cleaning consumables, without water, in 13.6% solution state","cleaning consumables, without water, in 13.6% solution state",35322: Detergents and washing preparations,chemicals and plastics
"market for anode, graphite, for Li-ion battery","anode, graphite, for Li-ion battery","46950: Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbo[…]",machinery and equipment
sodium chloroacetate production,sodium chloroacetate,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",chemicals and plastics
"transport, freight, aircraft, dedicated freight, short haul","transport, freight, aircraft, short haul",6531: Air transport services of freight,aviation
spodumene production,spodumene,16390: Other minerals n.e.c.,minerals
"transport, pipeline, onshore, petroleum","transport, pipeline, onshore, petroleum",65131: Transport services via pipeline of petroleum and natural gas,distribution
"electricity production, hydro, run-of-river, renewable energy products","electricity, high voltage, renewable energy products",17100: Electrical energy,electricity production
"metal working, average for copper product manufacturing","metal working, average for copper product manufacturing","893: Casting, forging, stamping and similar metal manufacturing services",other services
"market for aluminium sulfate, without water, in 4.33% aluminium solution state","aluminium sulfate, without water, in 4.33% aluminium solution state",34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,chemicals and plastics
"market for refractory, basic, packed","refractory, basic, packed",373: Refractory products and structural non-refractory clay products,other products
"market for pyrolysis gas, containing benzene, toluene and xylene","pyrolysis gas, containing benzene, toluene and xylene","34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
market for p-phenylene diamine,p-phenylene diamine,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]",chemicals and plastics
"market for wood chipping, chipper, mobile, diesel, at forest road","wood chipping, chipper, mobile, diesel, at forest road",8614: Support and operation services to forestry and logging,forest biomass
isobutyl acetate production,isobutyl acetate,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",chemicals and plastics
"furnace production, pellet, 15kW","furnace, pellet, 15kW","43420: Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]",machinery and equipment
"market for transmission network, electricity, medium voltage","transmission network, electricity, medium voltage",53252: Local cables and related works,construction
"treatment of waste plastic, industrial electronics, municipal incineration","electricity, for reuse in municipal waste incineration only",17100: Electrical energy,electricity production
dioctyl terephthalate production,dioctyl terephthalate,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",chemicals and plastics
"market for red kidney bean seed, for sowing","red kidney bean seed, for sowing","01243: Broad beans and horse beans, green",agricultural biomass
"market for tractor, 4-wheel, agricultural","tractor, 4-wheel, agricultural",4414: Agricultural tractors,machinery and equipment
"foam glass production, without cullet, electricity from renewable energy products","foam glass, electricity from renewable energy products","37117: Paving blocks, bricks, tiles and other articles of pressed or moulded glass, of a kind used for building or co[…]",other products
"market for carbon fibre reinforced plastic, injection moulded","carbon fibre reinforced plastic, injection moulded",49640: Parts of aircraft and spacecraft,machinery and equipment
propyl acetate production,isopropyl acetate,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",chemicals and plastics
petroleum refinery operation,kerosene,3334: Kerosenes,oil and gas products
market for marine engine,marine engine,4312: Internal combustion engines of a kind used for motor vehicles,machinery and equipment
market for cobalt oxide,cobalt oxide,"41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]",mining and basic metals
"market for wind turbine, 750kW, onshore","wind turbine, 750kW, onshore",53262: Power plants,construction
"transport, freight, lorry >32 metric ton, EURO2","transport, freight, lorry >32 metric ton, EURO2",6511: Road transport services of freight,road transport
"fish residues, Recycled Content cut-off",fish residues,"21221: Fish fillets and fish meat (whether or not minced), fresh or chilled",agricultural biomass
"market for wheat seed, for sowing","wheat seed, for sowing","01111: Wheat, seed",agricultural biomass
"hexamethyldisilazane production, amination of chlorosilane",hexamethyldisilazane,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]",chemicals and plastics
"market for polymethyl methacrylate, sheet","polymethyl methacrylate, sheet","36330: Plates, sheets, film, foil and strip, of plastics, not self-adhesive, non-cellular and not reinforced, laminat[…]",chemicals and plastics
technical wood drying facility construction,technical wood drying facility,53269: Other constructions for manufacturing,construction
"market for impact extrusion of aluminium, 1 stroke","impact extrusion of aluminium, 1 stroke","89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services",other services
"magnesium chloride, from titanium sponge production, Recycled Content cut-off","magnesium chloride, from titanium sponge production",34220: Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…],chemicals and plastics
"treatment of sewage sludge, 97% water, WWT-SLF, sludge from pulp and paper production, landfarming","organic potassium fertiliser, as K2O",34659: Fertilizers n.e.c.,chemicals and plastics
"hake, capture by trawler and landing whole, fresh","demersal fish, fresh","04241: Wild fish of Gadiformes, live, fresh or chilled",agricultural biomass
"market for deep drawing, steel, 650 kN press, automode","deep drawing, steel, 650 kN press, automode","89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services",other services
nitrous oxide production,nitrous oxide,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",chemicals and plastics
"market for mine infrastructure, iron","mine infrastructure, iron",53261: Mining constructions,construction
"nutrient supply from vinasse, from fermentation of sweet sorghum","organic phosphorus fertiliser, as P2O5",34659: Fertilizers n.e.c.,chemicals and plastics
"market for mine infrastructure, steatite","mine infrastructure, steatite",53261: Mining constructions,construction
"offshore platform production, natural gas","offshore platform, natural gas",49320: Floating or submersible drilling or production platforms,machinery and equipment
"market for transport, passenger car, medium size, natural gas, EURO 4","transport, passenger car, medium size, natural gas, EURO 4","64119: Other land transportation services of passengers, n.e.c.",road transport
"cable production, printer cable, without plugs","cable, printer cable, without plugs",45290: Parts and accessories of computing machines,machinery and equipment
"lithium production, lithium chloride electrolysis","chlorine, gaseous","34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
"maize seed production, Swiss integrated production, for sowing","maize seed, Swiss integrated production, for sowing","01121: Maize (corn), seed",agricultural biomass
"market for laser machining, metal, with YAG-laser, 500W power","laser machining, metal, with YAG-laser, 500W power",88731: Metal treatment and coating services,other services
market for trifluoromethane,trifluoromethane,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
market for methylchloride,methylchloride,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
market for dioxane,dioxane,"34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",chemicals and plastics
"market for sodium percarbonate, powder","sodium percarbonate, powder",35322: Detergents and washing preparations,chemicals and plastics
"market for drying of bread grain, seed and legumes","drying of bread grain, seed and legumes",86111: Post-harvest crop services,agricultural biomass
"light fuel oil, import from Europe",light fuel oil,33370: Fuel oils n.e.c.,oil and gas products
"recultivation, bauxite mine","recultivation, bauxite mine",9441: Site remediation and clean-up services,other services
market for iodine,iodine,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
samarium oxide to generic market for mischmetal,mischmetal,"34290: Compounds of rare earth metals, of yttrium or of scandium",chemicals and plastics
market for natural gas processing plant,natural gas processing plant,53262: Power plants,construction
"transport, passenger car, EURO 3","transport, passenger car, EURO 3","64119: Other land transportation services of passengers, n.e.c.",road transport
"transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO4, R134a refrigerant, freezing","transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO4, R134a refrigerant, freezing",65111: Road transport services of freight by refrigerator vehicles,road transport
